date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:48:22	28404/28404	---M--	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2009:42:13%20GMT	https://zenon.network/fonts/CircularStd-Black.woff2	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-Black.html	(from https://zenon.network/css/styles.css)
21:48:23	38772/38772	---MCZ	200	added ('OK')	application/font-woff	date:Sun,%2022%20Aug%202021%2009:42:13%20GMT	https://zenon.network/fonts/CircularStd-Black.woff	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-Black.woff	(from https://zenon.network/css/styles.css)
21:48:23	86320/86320	---MCZ	200	added ('OK')	application/font-sfnt	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/CircularStd-Black.ttf	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-Black.ttf	(from https://zenon.network/css/styles.css)
21:48:24	86694/86694	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/CircularStd-Medium.eot	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-Medium.eot	(from https://zenon.network/css/styles.css)
21:48:25	86694/86694	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/CircularStd-Medium.eot?	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-Mediumd41d.eot	(from https://zenon.network/css/styles.css)
21:48:25	28144/28144	---M--	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2009:42:13%20GMT	https://zenon.network/fonts/CircularStd-Medium.woff2	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-Medium.html	(from https://zenon.network/css/styles.css)
21:48:26	38536/38536	---MCZ	200	added ('OK')	application/font-woff	date:Sun,%2022%20Aug%202021%2009:42:13%20GMT	https://zenon.network/fonts/CircularStd-Medium.woff	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-Medium.woff	(from https://zenon.network/css/styles.css)
21:48:26	86456/86456	---MCZ	200	added ('OK')	application/font-sfnt	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/CircularStd-Medium.ttf	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-Medium.ttf	(from https://zenon.network/css/styles.css)
21:48:27	86602/86602	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/CircularStd-Bold.eot	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-Bold.eot	(from https://zenon.network/css/styles.css)
21:48:27	86602/86602	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/CircularStd-Bold.eot?	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-Boldd41d.eot	(from https://zenon.network/css/styles.css)
